"A82045","4NA24","","19990401","20010331","1"
"A82045","5D4","","20010401","20060930","1"
"A82045","5NE","","20061001","20130331","1"
"A82045","01H","","20130401","","1"
"A82046","01K","","20170401","","1"
"A82046","4DQ30","","19990401","20010331","1"
"A82046","5DD","","20010401","20060930","1"
"A82046","5NE","","20061001","20130331","1"
"A82046","01H","","20130401","20170331","1"
"A82047","4MW56","","19990401","20010331","1"
"A82047","5D6","","20010401","20060930","1"
"A82047","5NE","","20061001","20130331","1"
"A82047","01H","","20130401","","1"
"A82048","4MW56","","19990401","20010331","1"
"A82048","5D6","","20010401","20060930","1"
"A82048","5NE","","20061001","20130331","1"
"A82048","01H","","20130401","20220331","1"
"A82049","4MW56","","19990401","20010331","1"
"A82049","5D6","","20010401","20060930","1"
"A82049","5NE","","20061001","20130331","1"
"A82049","01H","","20130401","20220331","1"
"A82050","4MW56","","19990401","20010331","1"
"A82050","5D6","","20010401","20060930","1"
"A82050","5NE","","20061001","20130331","1"
"A82050","01H","","20130401","20220331","1"
"A82052","4NA24","","19990401","20010331","1"
"A82052","5D4","","20010401","20060930","1"
"A82052","5NE","","20061001","20130331","1"
"A82052","01H","","20130401","20171031","1"
"A82053","01K","","20170401","","1"
"A82053","4DQ30","","19990401","20010331","1"
"A82053","5DD","","20010401","20060930","1"
"A82053","5NE","","20061001","20130331","1"
"A82053","01H","","20130401","20170331","1"
"A82055","4NA24","","19990401","20010331","1"
"A82055","5D4","","20010401","20060930","1"
"A82055","5NE","","20061001","20130331","1"
"A82055","01H","","20130401","","1"
"A82057","4MW56","","19990401","20010331","1"
"A82057","5D6","","20010401","20060930","1"
"A82057","5NE","","20061001","20130331","1"
"A82057","01H","","20130401","20171031","1"
"A82058","4MW56","","19990401","20010331","1"
"A82058","5D6","","20010401","20060930","1"
"A82058","5NE","","20061001","20130331","1"
"A82058","01H","","20130401","20240331","1"
"A82060","4MW56","","19990401","20010331","1"
"A82060","5D6","","20010401","20060930","1"
"A82060","5NE","","20061001","20130331","1"
"A82060","01H","","20130401","20191130","1"
"A82062","01K","","20170401","","1"
"A82062","4KC44","","19990401","20010331","1"
"A82062","5DD","","20010401","20060930","1"
"A82062","5NE","","20061001","20130331","1"
"A82062","01H","","20130401","20170331","1"
"A82063","4JY13","","19990401","20010331","1"
"A82063","5D5","","20010401","20060930","1"
"A82063","5NE","","20061001","20130331","1"
"A82063","01H","","20130401","20180430","1"
"A82064","4MW56","","19990401","20010331","1"
"A82064","5D6","","20010401","20060930","1"
"A82064","5NE","","20061001","20130331","1"
"A82064","01H","","20130401","","1"
"A82065","01K","","20170401","20220331","1"
"A82065","4DQ30","","19990401","20010331","1"
"A82065","5DD","","20010401","20060930","1"
"A82065","5NE","","20061001","20130331","1"
"A82065","01H","","20130401","20170331","1"
"A82068","01K","","20170401","","1"
"A82068","4DQ30","","19990401","20010331","1"
"A82068","5DD","","20010401","20060930","1"
"A82068","5NE","","20061001","20130331","1"
"A82068","01H","","20130401","20170331","1"
"A82070","01K","","20170401","","1"
"A82070","4DQ30","","19990401","20010331","1"
"A82070","5DD","","20010401","20060930","1"
"A82070","5NE","","20061001","20130331","1"
"A82070","01H","","20130401","20170331","1"
"A82071","01K","","20170401","","1"
"A82071","4KC44","","19990401","20010331","1"
"A82071","5DD","","20010401","20060930","1"
"A82071","5NE","","20061001","20130331","1"
